,hco_tuple_animal_id,hco_winner,hco_loser,cohort,hco_averaged_winner,hco_averaged_loser,hco_winner_count,hco_loser_count,hco_count_difference,hco_match_count,hco_percent_win,hco_percentage_tie
0,"('3.1', '3.2')","['3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1']","['3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2', '3.2']",pilot_1,3.1,3.2,20,0,20,20,1.0,False
1,"('3.1', '3.3')",['3.1'],['3.3'],pilot_1,3.1,3.3,1,0,1,1,1.0,False
2,"('3.1', '3.4')","['3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1', '3.1']","['3.4', '3.4', '3.4', '3.4', '3.4', '3.4', '3.4', '3.4', '3.4', '3.4']",pilot_1,3.1,3.4,10,0,10,10,1.0,False
3,"('3.2', '3.3')","['3.3', '3.2', '3.2']","['3.2', '3.3', '3.3']",pilot_1,3.2,3.3,2,1,1,3,0.6666666666666666,True
4,"('3.2', '3.4')","['3.4', '3.4']","['3.2', '3.2']",pilot_1,3.4,3.2,2,0,2,2,1.0,False
5,"('3.3', '3.4')","['3.4', '3.4', '3.3', '3.3', '3.3', '3.3', '3.4', '3.3', '3.4']","['3.3', '3.3', '3.4', '3.4', '3.4', '3.4', '3.3', '3.4', '3.3']",pilot_1,3.3,3.4,5,4,1,9,0.5555555555555556,True
6,"('4.1', '4.2')","['4.2', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.2', '4.2', '4.1', '4.1']","['4.1', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.1', '4.1', '4.2', '4.2']",pilot_1,4.1,4.2,11,3,8,14,0.7857142857142857,False
7,"('4.1', '4.3')",['4.3'],['4.1'],pilot_1,4.3,4.1,1,0,1,1,1.0,False
8,"('4.1', '4.4')","['4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4']","['4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1']",pilot_1,4.4,4.1,28,0,28,28,1.0,False
9,"('4.2', '4.4')","['4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4']","['4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2']",pilot_1,4.4,4.2,18,0,18,18,1.0,False
10,"('4.3', '4.4')","['4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4']","['4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3']",pilot_1,4.4,4.3,17,0,17,17,1.0,False
