,subject_id,final_elo_rating,cohort,strain,cage,experiment_type,rank
0,1.1,1088.8,pilot_1,C57,1,reward_competition,1.0
1,1.2,1067.1,pilot_1,C57,1,reward_competition,2.0
2,1.3,904.3,pilot_1,C57,1,reward_competition,4.0
3,1.4,939.8,pilot_1,C57,1,reward_competition,3.0
4,2.1,1061.3,pilot_1,C57,2,reward_competition,1.0
5,2.2,928.3,pilot_1,C57,2,reward_competition,4.0
6,2.3,970.6,pilot_1,C57,2,reward_competition,3.0
7,2.4,1039.8,pilot_1,C57,2,reward_competition,2.0
8,3.1,1131.7,pilot_1,CD1,3,reward_competition,1.0
9,3.2,951.8,pilot_1,CD1,3,reward_competition,3.0
10,3.3,983.4,pilot_1,CD1,3,reward_competition,2.0
11,3.4,933.1,pilot_1,CD1,3,reward_competition,4.0
12,4.1,1125.5,pilot_1,CD1,4,reward_competition,1.0
13,4.2,860.5,pilot_1,CD1,4,reward_competition,4.0
14,4.3,961.7,pilot_1,CD1,4,reward_competition,3.0
15,4.4,1052.3,pilot_1,CD1,4,reward_competition,2.0
