,uma_tuple_animal_id,uma_winner,uma_loser,cohort,uma_averaged_winner,uma_averaged_loser,uma_winner_count,uma_loser_count,uma_count_difference,uma_match_count,uma_percent_win,uma_percentage_tie
0,"('1.1', '1.2')","['1.2', '1.1']","['1.1', '1.2']",pilot_1,1.2,1.1,1,1,0,2,0.5,True
1,"('1.1', '1.3')","['1.1', '1.1']","['1.3', '1.3']",pilot_1,1.1,1.3,2,0,2,2,1.0,False
2,"('1.1', '1.4')",['1.1'],['1.4'],pilot_1,1.1,1.4,1,0,1,1,1.0,False
3,"('1.2', '1.3')",['1.2'],['1.3'],pilot_1,1.2,1.3,1,0,1,1,1.0,False
4,"('1.2', '1.4')","['1.4', '1.2']","['1.2', '1.4']",pilot_1,1.4,1.2,1,1,0,2,0.5,True
5,"('1.3', '1.4')","['1.4', '1.4']","['1.3', '1.3']",pilot_1,1.4,1.3,2,0,2,2,1.0,False
6,"('2.1', '2.2')","['2.1', '2.1']","['2.2', '2.2']",pilot_1,2.1,2.2,2,0,2,2,1.0,False
7,"('2.1', '2.3')",['2.1'],['2.3'],pilot_1,2.1,2.3,1,0,1,1,1.0,False
8,"('2.1', '2.4')",['2.1'],['2.4'],pilot_1,2.1,2.4,1,0,1,1,1.0,False
9,"('2.2', '2.3')",['2.3'],['2.2'],pilot_1,2.3,2.2,1,0,1,1,1.0,False
10,"('2.2', '2.4')",['2.4'],['2.2'],pilot_1,2.4,2.2,1,0,1,1,1.0,False
11,"('2.3', '2.4')","['2.3', '2.4']","['2.4', '2.3']",pilot_1,2.3,2.4,1,1,0,2,0.5,True
12,"('3.1', '3.2')","['3.2', '3.1']","['3.1', '3.2']",pilot_1,3.2,3.1,1,1,0,2,0.5,True
13,"('3.1', '3.3')",['3.1'],['3.3'],pilot_1,3.1,3.3,1,0,1,1,1.0,False
14,"('3.1', '3.4')",['3.1'],['3.4'],pilot_1,3.1,3.4,1,0,1,1,1.0,False
15,"('3.2', '3.3')",['3.2'],['3.3'],pilot_1,3.2,3.3,1,0,1,1,1.0,False
16,"('3.2', '3.4')",['3.4'],['3.2'],pilot_1,3.4,3.2,1,0,1,1,1.0,False
17,"('3.3', '3.4')","['3.3', '3.3', '3.4']","['3.4', '3.4', '3.3']",pilot_1,3.3,3.4,2,1,1,3,0.6666666666666666,True
18,"('4.1', '4.2')","['4.1', '4.2', '4.1']","['4.2', '4.1', '4.2']",pilot_1,4.1,4.2,2,1,1,3,0.6666666666666666,True
19,"('4.1', '4.3')",['4.1'],['4.3'],pilot_1,4.1,4.3,1,0,1,1,1.0,False
20,"('4.1', '4.4')",['4.4'],['4.1'],pilot_1,4.4,4.1,1,0,1,1,1.0,False
21,"('4.2', '4.3')",['4.3'],['4.2'],pilot_1,4.3,4.2,1,0,1,1,1.0,False
22,"('4.2', '4.4')",['4.4'],['4.2'],pilot_1,4.4,4.2,1,0,1,1,1.0,False
23,"('4.3', '4.4')","['4.4', '4.4', '4.4', '4.4']","['4.3', '4.3', '4.3', '4.3']",pilot_1,4.4,4.3,4,0,4,4,1.0,False
