,subject_id,cage_num_of_subject,final_elo_rating,cohort,experiment_type,rank
0,1.1,1,907.5,pilot_2,home_cage_observation,4.0
1,1.2,1,1191.1,pilot_2,home_cage_observation,1.0
2,1.3,1,923.8,pilot_2,home_cage_observation,3.0
3,1.4,1,977.6,pilot_2,home_cage_observation,2.0
4,2.1,2,880.2,pilot_2,home_cage_observation,4.0
5,2.2,2,897.1,pilot_2,home_cage_observation,3.0
6,2.3,2,1317.7,pilot_2,home_cage_observation,1.0
7,2.4,2,905.0,pilot_2,home_cage_observation,2.0
8,3.1,3,1283.2,pilot_2,home_cage_observation,1.0
9,3.2,3,898.7,pilot_2,home_cage_observation,4.0
10,3.3,3,919.3,pilot_2,home_cage_observation,2.0
11,3.4,3,898.8,pilot_2,home_cage_observation,3.0
12,4.1,4,1079.9,pilot_2,home_cage_observation,2.0
13,4.2,4,1348.9,pilot_2,home_cage_observation,1.0
14,4.3,4,763.5,pilot_2,home_cage_observation,4.0
15,4.4,4,807.7,pilot_2,home_cage_observation,3.0
16,5.1,5,944.6,pilot_2,home_cage_observation,3.0
17,5.2,5,657.1,pilot_2,home_cage_observation,4.0
18,5.3,5,1089.3,pilot_2,home_cage_observation,2.0
19,5.4,5,1309.0,pilot_2,home_cage_observation,1.0
20,6.1,6,1425.3,pilot_2,home_cage_observation,1.0
21,6.2,6,779.7,pilot_2,home_cage_observation,3.0
22,6.3,6,714.6,pilot_2,home_cage_observation,4.0
23,6.4,6,1080.4,pilot_2,home_cage_observation,2.0
