,subject_id,final_elo_score,cohort,strain,cage,experiment_type,rank
0,1.1,1196.9,pilot_3,C57,1,reward_competition,1.0
1,1.2,974.3,pilot_3,C57,1,reward_competition,3.0
2,1.3,1011.1,pilot_3,C57,1,reward_competition,2.0
3,1.4,817.7,pilot_3,C57,1,reward_competition,4.0
4,2.1,1010.3,pilot_3,C57,2,reward_competition,3.0
5,2.2,1121.9,pilot_3,C57,2,reward_competition,1.0
6,2.3,1015.0,pilot_3,C57,2,reward_competition,2.0
7,2.4,852.8,pilot_3,C57,2,reward_competition,4.0
8,3.1,929.6,pilot_3,C57,3,reward_competition,4.0
9,3.2,1086.0,pilot_3,C57,3,reward_competition,1.0
10,3.3,1007.9,pilot_3,C57,3,reward_competition,2.0
11,3.4,976.5,pilot_3,C57,3,reward_competition,3.0
12,4.1,1019.8,pilot_3,CD1,4,reward_competition,3.0
13,4.2,799.2,pilot_3,CD1,4,reward_competition,4.0
14,4.3,1035.9,pilot_3,CD1,4,reward_competition,2.0
15,4.4,1145.1,pilot_3,CD1,4,reward_competition,1.0
16,5.1,751.4,pilot_3,CD1,5,reward_competition,4.0
17,5.2,1263.5,pilot_3,CD1,5,reward_competition,1.0
18,5.3,1030.5,pilot_3,CD1,5,reward_competition,2.0
19,5.4,954.6,pilot_3,CD1,5,reward_competition,3.0
20,6.1,991.0,pilot_3,CD1,6,reward_competition,3.0
21,6.2,752.6,pilot_3,CD1,6,reward_competition,4.0
22,6.3,1235.4,pilot_3,CD1,6,reward_competition,1.0
23,6.4,1021.0,pilot_3,CD1,6,reward_competition,2.0
